"enter" "exit" "position" "id" "zone" "name"
5996 4698 17.2950123626082 19 5 "Becontree "
6295 4813 17.2950123626082 19 5 "Becontree "
6001 4928 17.2950123626082 19 5 "Becontree "
5410 5207 17.2950123626082 19 5 "Becontree "
4925 6176 17.2950123626082 19 5 "Becontree "
5523 5239 17.2950123626082 19 5 "Becontree "
5718 5460 17.2950123626082 19 5 "Becontree "
5681 5256 17.2950123626082 19 5 "Becontree "
6263 4885 17.2950123626082 19 5 "Becontree "
6124 4936 17.2950123626082 19 5 "Becontree "
10097 8104 3.54826520449863 20 2 "Belsize Park "
10785 8315 3.54826520449863 20 2 "Belsize Park "
10925 8666 3.54826520449863 20 2 "Belsize Park "
10955 8823 3.54826520449863 20 2 "Belsize Park "
10661 8437 3.54826520449863 20 2 "Belsize Park "
10092 8199 3.54826520449863 20 2 "Belsize Park "
10864 8570 3.54826520449863 20 2 "Belsize Park "
10887 8599 3.54826520449863 20 2 "Belsize Park "
10770 8736 3.54826520449863 20 2 "Belsize Park "
10576 7982 3.54826520449863 20 2 "Belsize Park "
22767 22051 4.68104026412714 21 2 "Bethnal Green LU "
23284 22595 4.68104026412714 21 2 "Bethnal Green LU "
24033 23732 4.68104026412714 21 2 "Bethnal Green LU "
24076 23068 4.68104026412714 21 2 "Bethnal Green LU "
24980 23821 4.68104026412714 21 2 "Bethnal Green LU "
22825 22144 4.68104026412714 21 2 "Bethnal Green LU "
24213 23260 4.68104026412714 21 2 "Bethnal Green LU "
25181 24374 4.68104026412714 21 2 "Bethnal Green LU "
24251 23316 4.68104026412714 21 2 "Bethnal Green LU "
25155 23800 4.68104026412714 21 2 "Bethnal Green LU "
23621 22219 2.51646947303131 22 1 "Blackfriars LU "
24935 23521 2.51646947303131 22 1 "Blackfriars LU "
25335 24433 2.51646947303131 22 1 "Blackfriars LU "
25655 24638 2.51646947303131 22 1 "Blackfriars LU "
23576 23100 2.51646947303131 22 1 "Blackfriars LU "
23231 22452 2.51646947303131 22 1 "Blackfriars LU "
24879 23764 2.51646947303131 22 1 "Blackfriars LU "
26503 25048 2.51646947303131 22 1 "Blackfriars LU "
24692 23966 2.51646947303131 22 1 "Blackfriars LU "
22818 22754 2.51646947303131 22 1 "Blackfriars LU "
0 0 8.39215030258519 23 3 "Blackhorse Road "
7029 8356 8.39215030258519 23 3 "Blackhorse Road "
9722 9735 8.39215030258519 23 3 "Blackhorse Road "
12786 11921 8.39215030258519 23 3 "Blackhorse Road "
13154 12001 8.39215030258519 23 3 "Blackhorse Road "
12908 12056 8.39215030258519 23 3 "Blackhorse Road "
14196 12845 8.39215030258519 23 3 "Blackhorse Road "
13159 12338 8.39215030258519 23 3 "Blackhorse Road "
13169 12497 8.39215030258519 23 3 "Blackhorse Road "
13137 11811 8.39215030258519 23 3 "Blackhorse Road "
49687 49814 2.65079751109692 25 1 "Bond Street "
52167 53710 2.65079751109692 25 1 "Bond Street "
54273 55214 2.65079751109692 25 1 "Bond Street "
55672 56854 2.65079751109692 25 1 "Bond Street "
53758 56145 2.65079751109692 25 1 "Bond Street "
48273 48890 2.65079751109692 25 1 "Bond Street "
56927 53803 2.65079751109692 25 1 "Bond Street "
51714 52920 2.65079751109692 25 1 "Bond Street "
